,WindowId,Min,Max,Mean,Iqr,Std,Var,Pp,Rms,Cf,Mac,Energy
261,262.0,268.3157894736842,268.42105263157896,268.4035087719298,0.0,0.03922926276315532,0.0015389350569406843,0.10526315789473983,268.40351163876096,1.0000653530675172,0.017543859649123306,72040.4450600185
262,263.0,268.2105263157895,268.42105263157896,268.3684210526316,0.07894736842104066,0.08039606482378896,0.006463527239150876,0.21052631578947967,268.3684330948962,1.0001960720047285,0.03508771929824661,72021.61588180979
263,264.0,267.94736842105266,268.42105263157896,268.2192982456141,0.3421052631578618,0.1883413206454712,0.0354724530624802,0.47368421052630083,268.2193643714464,1.0007519526437072,0.07894736842105014,71941.62742382272
264,265.0,267.94736842105266,268.3157894736842,268.14035087719304,0.22368421052630083,0.13475694294505602,0.018159433671897086,0.368421052631561,268.14038473899797,1.0006541526180661,0.11403508771928728,71899.26592797785
265,266.0,267.94736842105266,268.42105263157896,268.1929824561404,0.35526315789473983,0.1889531511275239,0.03570329332102089,0.47368421052630083,268.1930490188233,1.000850147360604,0.08771929824560705,71927.51154201293
266,267.0,268.10526315789474,268.42105263157896,268.3157894736842,0.15789473684213817,0.1176877882894702,0.013850415512467159,0.3157894736842195,268.3158152835981,1.0003922144800508,0.07894736842105961,71993.37673130195
267,268.0,268.0,268.42105263157896,268.2719298245614,0.27631578947369917,0.16758748398722256,0.02808556478916758,0.42105263157895934,268.2719821698852,1.0005556691402808,0.07017543859649322,71969.85641735919
268,269.0,267.5263157894737,268.42105263157896,268.0087719298246,0.4210526315789025,0.3029809831433357,0.09179747614650229,0.8947368421052602,268.0089431881124,1.001537670491754,0.14912280701754335,71828.79362880887
269,270.0,266.6842105263158,268.10526315789474,267.4736842105263,0.9605263157894797,0.5536748715108655,0.3065558633425734,1.4210526315789593,267.47425726790175,1.0023591275528283,0.23684210526315988,71542.4783010157
270,271.0,266.4736842105263,267.7368421052632,266.9561403508772,0.7763157894736992,0.4922451875999467,0.2423053247153067,1.263157894736878,266.956594180331,1.0029227520201471,0.21929824561404607,71265.82317636196
271,272.0,266.4736842105263,266.8421052631579,266.6842105263158,0.22368421052630083,0.13925006900340345,0.019390581717452622,0.36842105263161784,266.68424688126225,1.0005919299086532,0.11403508771930622,71120.48753462604
272,273.0,266.4736842105263,266.94736842105266,266.72807017543863,0.236842105263122,0.17032006876270675,0.029008925823333157,0.4736842105263577,266.7281245546474,1.0008219750608276,0.10526315789474931,71143.89242843952
273,274.0,266.42105263157896,266.94736842105266,266.7456140350877,0.118421052631561,0.16480959849172266,0.027162203755002834,0.5263157894736992,266.74566494914166,1.0007561640109484,0.11403508771930622,71153.24976915975
274,275.0,266.42105263157896,266.94736842105266,266.7368421052632,0.131578947368439,0.1636382290015628,0.02677746999076791,0.5263157894736992,266.7368922998056,1.0007890776541344,0.15789473684210975,71148.56971375809
275,276.0,266.42105263157896,267.7894736842105,266.93859649122805,0.381578947368439,0.43868420175613204,0.19244382887041475,1.368421052631561,266.9389569555848,1.003186184355876,0.271929824561397,71256.40674053556
276,277.0,266.7368421052632,268.42105263157896,267.56140350877195,1.3421052631579187,0.6940365068369279,0.481686672822405,1.6842105263157805,267.5623036495551,1.003209529034212,0.2807017543859634,71589.5863342567
